match_id,date,tournament,level,tour_category,country,court_type,round,round_code,team1_p1,team1_p2,team2_p1,team2_p2,team1_p1_id,team1_p2_id,team2_p1_id,team2_p2_id,team1_sides,team2_sides,seed_t1,seed_t2,winner_team,set1,set2,set3,duration_min,status,source
7137,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Bastien Blanque,Dylan Guichard,Facundo Dominguez,Juan Cruz Belluati,280,281,1,161,None/drive,drive/drive,LL,,1,7-5,6-1,,75,finished,padelapi.org match 7137
7138,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Sattam Alshahrani,Omar Althagib,Maxi Sanchez Blasco,Jose Jimenez,340,338,252,196,None/None,backhand/drive,WC,,2,0-6,1-6,,43,finished,padelapi.org match 7138
7141,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Jose Antonio Diestro,Andres Fdz Lancha,Agustin Torre,Aris Patiniotis,110,146,64,150,drive/backhand,backhand/drive,,,1,6-2,6-3,,61,finished,padelapi.org match 7141
7142,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Arnau Ayats,Alvaro Cepero,Nacho Vilariño,Mario Del Castillo,200,113,86,75,backhand/drive,backhand/backhand,,Q,2,3-6,6(11)-7,,85,finished,padelapi.org match 7142
7145,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Manuel Castaño,Inigo Jofre,Teodoro Zapata,Francisco Cabeza Teres,49,155,164,148,backhand/backhand,backhand/backhand,,,1,6-2,6-4,,60,finished,padelapi.org match 7145
7146,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Javier Martinez,Ramiro Valenzuela,Jose Luis Gonzalez,Antonio Fernandez,100,156,233,108,backhand/backhand,drive/backhand,Q,,1,2-6,6-3,6-2,103,finished,padelapi.org match 7146
7149,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Marco Cassetta,Mario Huete,Facundo Rodrigo Luis Lopez,Mariano Agustin Gonzalez San Martin,232,162,256,180,backhand/backhand,None/None,,Q,2,6(4)-7,3-6,,68,finished,padelapi.org match 7149
7150,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Marc Quilez,Federico Mouriño,Álvaro Melendez Amaya,Pedro Melendez Amaya,159,107,197,250,backhand/drive,None/drive,Q,Q,2,3-6,7-5,6(0)-7,130,finished,padelapi.org match 7150
7153,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Daniel Santigosa,Marc Sintes Villalonga,Pol Hernandez,Guillermo Collado,198,129,157,210,drive/drive,drive/backhand,,,2,5-7,4-6,,65,finished,padelapi.org match 7153
7154,2026-02-09,Riyadh Season P1 2026,p1,men,SA,,Round of 64,32,Nuno Deus,Thomas Leygue,Enrique Goenaga,Aimar Goñi,166,207,163,465,backhand/drive,drive/backhand,,,2,2-6,6-4,4-6,103,finished,padelapi.org match 7154
