age,birthdate,birthplace,category,hand,height,id,links,name,nationality,photo_url,points,ranking,short_name,side,updated_at,url
23,2002-08-21,,men,,,2013,,Aaron Cohen,IL,,30,719,Cohen,,2026-07-13T14:00:34+02:00,
30,1996-02-02,,men,,,1654,,Aaron Lewis Joseph Besnainou,FR,,13,1148,Lewis,,2026-07-13T14:00:41+02:00,
21,2004-12-03,,men,,,371,,Aaron Segura,US,,22,862,Segura,,2026-07-13T14:00:37+02:00,
16,2010-01-12,,men,,,2445,,Abbas Makke,LB,,13,1148,Makke,,2026-07-13T14:00:41+02:00,
28,1998-02-25,,men,,,339,,Abdulaziz Redha,KW,,13,1148,Redha,,2026-07-13T14:00:42+02:00,
46,1979-11-13,Doha,men,,179,344,,Abdulaziz Saadon Alkuwari,QA,,0,2731,Saadon,drive,2026-07-07T00:03:01+02:00,
36,1990-01-25,Doha,men,,177,186,,Abdulla Alhijji,QA,https://storage.googleapis.com/fantasypadeltour/player-api/abdulla-alhijji.webp,31,709,Alhijji,backhand,2026-07-13T14:00:34+02:00,
19,2006-08-02,,men,,,1521,,Abdullah Alabdulla,AE,,26,787,Alabdulla,,2026-07-13T14:00:35+02:00,
23,2002-09-04,,men,,,336,,Abdullah Alabdullah,SA,,22,813,Alabdullah,,2026-07-03T04:00:02+02:00,
,,,men,,,2530,,Abdullah Al Barwani,OM,,8,1474,Al Barwani,,2026-07-13T14:00:46+02:00,
34,1992-02-17,,men,,,365,,Abdulrahman Alawadhi,KW,,35,649,Alawadhi,,2026-07-13T14:00:32+02:00,
30,1995-11-30,,men,,,369,,Abdulrahman Alazzam,SA,,22,862,Alazzam,,2026-07-13T14:00:37+02:00,
28,1998-04-29,Tyre,men,,182,1664,,Abou Zeid Karim,ZZ,,11,1253,Zeid,,2026-07-13T14:00:43+02:00,
18,2008-04-04,,men,,,709,,Abraham Muñoz Zurita,ES,,146,266,Muñoz,,2026-07-13T14:00:23+02:00,
20,2005-08-27,Smalandsstenar,men,right,200,141,,Adam Axelsson,SE,,552,106,Axelsson,backhand,2026-07-13T14:00:19+02:00,https://fantasypadeltour.com/rankings/156/adam-axelsson
34,1992-03-14,,men,,,1678,,Adam Badreddine,ZZ,,10,1329,Badreddine,,2026-07-13T14:00:44+02:00,
20,2006-03-30,,men,,,2475,,Adam Ottosson,SE,,25,800,Ottosson,,2026-07-13T14:00:36+02:00,
40,1985-10-23,,men,,,2039,,Aday Sanchez Leon,ES,,17,983,Sanchez,,2026-07-13T14:00:39+02:00,
48,1978-05-04,Las Palmas,men,,179,316,,Aday Santana,ES,https://storage.googleapis.com/fantasypadeltour/player-api/aday-santana.webp,0,2731,Santana,backhand,2026-07-04T20:01:33+02:00,
48,1978-07-09,,men,,,2271,,Adeel Allawala,PK,,13,1148,Allawala,,2026-07-15T20:01:28+02:00,
