date,tournament,level,round,round_name,team1,team2,score,winner,duration_min,n_sets,status,category
2026-07-19,Málaga P1 2026,P1,1,Finals,Arturo Coello / Agustin Tapia,Leo Augsburger / Juan Lebron,6-2 · 6-2,Arturo Coello / Agustin Tapia,53.0,2,finished,men
2026-07-19,-,-,2,Semifinals,Adrian Ronco Lopez / Pepe Aliaga,Diego Dorta Diaz / Alfonso Sanchez Arriaga,6-4 · 6-3,Adrian Ronco Lopez / Pepe Aliaga,,2,finished,men
2026-07-19,-,-,2,Semifinals,Anton Sans / Gustavo Nunes,Antonio Fernandez / Pedro Melendez Amaya,3-6 · 0-6,Antonio Fernandez / Pedro Melendez Amaya,,2,finished,men
2026-07-19,-,-,1,Finals,Adrian Ronco Lopez / Pepe Aliaga,Antonio Fernandez / Pedro Melendez Amaya,6-3 · 6-7 · 4-6,Antonio Fernandez / Pedro Melendez Amaya,,3,finished,men
2026-07-18,Málaga P1 2026,P1,2,Semifinals,Arturo Coello / Agustin Tapia,Martin Di Nenno / Francisco Navarro,6-4 · 6-3,Arturo Coello / Agustin Tapia,76.0,2,finished,men
2026-07-18,Málaga P1 2026,P1,2,Semifinals,Juan Lebron / Leo Augsburger,Alejandro Galan / Federico Chingotto,2-6 · 6-3 · 7-6(7),Juan Lebron / Leo Augsburger,144.0,3,finished,men
2026-07-18,-,-,8,Round of 16,Matteo Rosingana / Simone Vaccari,Arthur Hugounenq / Yanis Muesser,6-2 · 2-6 · 7-6,Matteo Rosingana / Simone Vaccari,,3,finished,men
2026-07-18,-,-,8,Round of 16,Jaime Menendez / Filippo Nicocia,Adrian Ronco Lopez / Pepe Aliaga,3-6 · 2-6,Adrian Ronco Lopez / Pepe Aliaga,,2,finished,men
2026-07-18,-,-,8,Round of 16,Diego Dorta Diaz / Alfonso Sanchez Arriaga,Charlie Götke / Jake Bewley,6-0 · 6-3,Diego Dorta Diaz / Alfonso Sanchez Arriaga,,2,finished,men
2026-07-18,-,-,8,Round of 16,Alexander Loughlan / Louie Harris,Guillem Figuerola Santiago / Roberto Belmont Pastor,6-7 · 7-5 · 4-6,Guillem Figuerola Santiago / Roberto Belmont Pastor,,3,finished,men
2026-07-18,-,-,8,Round of 16,Anton Sans / Gustavo Nunes,Simon Dvorak / Jonas Jan Hoffman,6-0 · 6-0,Anton Sans / Gustavo Nunes,,2,finished,men
2026-07-18,-,-,8,Round of 16,Victor Tur Checa / Agustin Reca,Oscar Jacobson / Oliver Jacobson,6-1 · 6-1,Victor Tur Checa / Agustin Reca,,2,finished,men
